,name_muni_IBGE,Population,Bovino (bovines),Suíno (pigs) - total,Galináceos (chicken) - total,Manure generated (kg/day),Municipality-specific biogas yield (m3/kg manure),Municipality-specific CH4 yield (m3 CH4/kg manure)
4100103,Abatiá,7408,16520,870,385420,394706.4,0.057177423,0.033366617
4100202,Adrianópolis,5857,14944,705,21200,265116,0.026750226,0.015789484
4100301,Agudos do Sul,9470,1774,2700,60000,55520.8,0.068544517,0.039911336
4100400,Almirante Tamandaré,120041,640,2400,40000,29504,0.083415401,0.048486512
4100459,Altamira do Paraná,1682,63683,2550,218000,1164139.6,0.030322082,0.017853063
4100509,Alto Paraná,14859,38462,4490,1167317,1002044.76,0.06397345,0.037291421
4100608,Alto Piquiri,9778,8392,2600,30248,160715.84,0.032710696,0.019226351
4100707,Altônia,22176,60288,8000,1528730,1489318,0.059411983,0.034655976
4100806,Alvorada do Sul,11503,4702,619,388316,191484.64,0.093126491,0.054132882
4100905,Amaporã,6332,35502,1500,54360,630415.2,0.026916212,0.015885501
4101002,Ampére,19311,38128,13329,2485602,1392290.32,0.085938145,0.049977413
4101051,Anahy,2788,5587,381,725500,300394.64,0.105971272,0.061553862
4101101,Andirá,19926,1693,1720,700000,230348.4,0.12823773,0.074413656
4101150,Ângulo,2930,8837,774,1149531,476218.04,0.10598783,0.06156326
4101200,Antonina,18949,341,206,7800,8675.44,0.058173529,0.033931959
4101309,Antônio Olinto,7427,4302,2043,26200,87541.12,0.037696475,0.022103143
4101408,Apucarana,136234,17951,2582,2734811,1082353.56,0.109955678,0.063855017
4101507,Arapongas,124810,5969,8921,4780230,1468251.04,0.135381943,0.078541314
4101606,Arapoti,28300,47552,142966,151944,1295055.36,0.046171761,0.026958336
4101655,Arapuã,3009,16485,2062,30000,298210.48,0.028169251,0.016607223
4101705,Araruna,14000,17957,1535,1164800,639670.8,0.085943425,0.04998382
4101804,Araucária,146214,4568,13487,347305,216815.48,0.088564369,0.051469879
4101853,Ariranha do Ivaí,2066,9569,2062,20000,176455.28,0.029406637,0.017319793
4101903,Assaí,14954,10251,800,400000,290749.2,0.070855341,0.041267701
4102000,Assis Chateaubriand,33340,7557,38820,6598185,2095485,0.133839751,0.077644608
